from,to
136744,1117796
136744,1221114
136744,214670
136744,1916
136744,1002174
136744,1230693
136744,1179035
136744,203893
136744,1548305
136744,1420368
252193,19641
1361957,274228
118456,257024
118456,1059328
1354988,1110932
1354988,368789
1354988,1173045
1354988,1183229
1110932,1173045
1582411,1522197
1582411,1414768
1522197,1340646
1522197,1392925
1522197,1414768
1522197,1261391
1230597,1587049
1229365,1462398
1229365,1513794
1229365,1172773
1263262,227568
1263262,1030659
1208836,192715
1208836,1047181
1208836,1518583
1027843,192715
1027843,1047181
1591378,364171
1198385,1040393
1460672,1450070
1424299,1020852
1089355,1457658
1543945,1123677
1543945,1476281
1543945,1120709
1551625,1509554
1551625,1109455
1551625,1040391
1551625,1295107
1509554,1109455
1509554,1040391
1509554,1295107
344893,1311502
344893,1526416
344893,163879
344893,1012905
344893,1438614
344893,1440135
1323480,1036977
1323480,1178441
1323480,1286408
1036977,1178441
1036977,1286408
1178441,1286408
1014221,1225672
252946,1535099
252946,1437525
252946,1294058
252946,1472604
252946,110608
252946,235375
252946,1186133
252946,1415189
252946,1522567
252946,1171937
252946,27762
252946,172190
1380392,1001218
1327099,1086236
1327099,284780
1327099,1096687
1327099,1160605
1327099,18655
1327099,1175083
1327099,1103796
1564565,1424264
1564565,1159678
332396,21736
332396,1405763
332396,119260
332396,1041361
332396,1327768
332396,1005981
332396,1116020
332396,1290765
332396,1514808
332396,1198049
332396,1497872
332396,1027640
332396,1389933
332396,225270
332396,1066483
332396,1209002
332396,109223
21736,1405763
21736,119260
21736,1041361
21736,1327768
21736,1005981
21736,1497872
21736,1027640
21736,1389933
21736,225270
21736,1066483
21736,1209002
21736,109223
1405763,119260
1405763,1041361
1405763,1327768
1405763,1005981
1405763,1290765
1405763,1497872
1405763,1027640
1405763,1389933
1405763,225270
1405763,1066483
1405763,1209002
1405763,109223
119260,1041361
119260,1327768
119260,1005981
119260,1290765
119260,1497872
119260,1027640
119260,1389933
119260,225270
119260,1066483
119260,1209002
119260,109223
1041361,1327768
1041361,1005981
1041361,1290765
1041361,1497872
1041361,1027640
1041361,1389933
1041361,225270
1041361,1066483
1041361,1209002
1041361,109223
1327768,1005981
1327768,1290765
1327768,1497872
1327768,1027640
1327768,1389933
1327768,225270
1327768,1066483
1327768,1209002
1327768,109223
1005981,1447740
1005981,1497872
1005981,1027640
1005981,1389933
1005981,225270
1005981,1066483
1005981,1209002
1005981,1040919
1005981,109223
1447740,278976
1447740,1209002
1447740,1040919
1170605,1569730
1170605,1235182
1170605,316523
1170605,1144869
1170605,1460759
1170605,1007242
1170605,274750
1170605,1334005
1170605,115587
310557,243073
310557,1178860
310557,1022661
310557,1416081
310557,467472
310557,1300481
310557,258989
310557,1448686
1574498,1355526
1574498,1119504
1574498,1289707
1574498,1147766
1355526,1119504
1355526,1289707
303623,1393857
303623,120750
303623,350034
303623,1088777
303623,1156782
303623,1319022
303623,1157567
303623,1191297
303623,1261994
303623,1460557
1393857,120750
1393857,350034
1393857,1088777
1393857,1156782
1393857,1319022
1393857,1157567
1393857,1250278
1393857,1191297
1393857,1261994
1393857,1460557
120750,350034
120750,1088777
120750,1156782
120750,1319022
120750,1157567
120750,1250278
120750,1191297
120750,1261994
120750,1460557
350034,1088777
350034,1156782
350034,1319022
350034,1157567
350034,1250278
350034,1191297
350034,1261994
350034,1460557
1088777,1156782
1088777,1319022
1088777,1157567
1088777,1250278
1088777,1191297
1088777,1261994
1088777,1460557
1156782,1319022
1156782,1157567
1156782,1250278
1156782,1191297
1156782,1261994
1156782,1460557
1319022,1157567
1319022,1250278
1319022,1191297
1319022,1261994
1319022,1460557
112774,1388877
112774,1075377
112774,1242420
112774,1101084
112774,1360801
112774,270617
112774,1164241
112774,307158
112774,233236
112774,1537240
112774,1013877
112774,1256372
112774,1264208
112774,1001484
112774,101738
112774,1289856
112774,156095
112774,130675
1388877,1358601
1388877,1513837
1388877,1075377
1388877,1242420
1388877,1101084
1388877,1360801
1388877,270617
1388877,1164241
1388877,307158
1388877,233236
1388877,1537240
1388877,1013877
1388877,1256372
1388877,1264208
1388877,1001484
1388877,101738
1388877,1289856
1388877,156095
1388877,130675
1388877,1039152
106794,1050969
106794,1130100
106794,1167212
1310158,1253850
1310158,1202872
1310158,1050969
1310158,1567719
1310158,1482754
1197187,156779
1197187,1207604
1197187,1504238
1403243,1253850
1403243,1482754
1253850,1202872
1253850,1567719
1253850,1482754
1448187,1383851
1448187,330228
1448187,1441985
1448187,1271317
1448187,1160280
1448187,1297790
1448187,183796
1448187,259583
1448187,180418
1448187,1489522
1448187,400242
1448187,1416623
1448187,254323
1448187,249848
1383851,330228
1383851,1441985
1383851,1271317
1383851,1297790
1383851,183796
1383851,259583
1383851,180418
1383851,1489522
1383851,400242
1383851,1416623
1383851,254323
1383851,249848
330228,1441985
330228,1271317
330228,1297790
330228,183796
330228,259583
330228,180418
330228,1489522
330228,400242
330228,1416623
330228,254323
330228,249848
1441985,1271317
1441985,183796
1441985,259583
1441985,180418
1441985,1489522
1441985,400242
1441985,1416623
1441985,254323
1441985,249848
1271317,1160280
1271317,1297790
1271317,183796
1271317,259583
1271317,180418
1271317,1489522
1271317,400242
1271317,1416623
1271317,254323
1271317,249848
136389,1108131
12478,1248316
12478,1250479
12478,1045806
1490298,1356203
1490298,1401812
1490298,1122978
1490298,1161463
1490298,1063299
1490298,157694
1490298,246853
1356203,1401812
1356203,1122978
1356203,1161463
1356203,1063299
1356203,157694
1356203,246853
1401812,1122978
1401812,1161463
1401812,1063299
1401812,157694
1401812,246853
1122978,1161463
1122978,1063299
1122978,157694
1122978,246853
1161463,1063299
1161463,157694
1161463,246853
1063299,157694
1063299,246853
1049358,1121417
1049358,1001346
1360249,1154465
1360249,189490
1360249,1347465
1360249,2325
1360249,118797
1360249,1117853
1360249,154591
1360249,1405704
1360249,1066802
1360249,1282342
1360249,149592
1154465,189490
1154465,1347465
1154465,2325
1154465,118797
1154465,1117853
1154465,154591
1154465,1405704
1154465,1066802
1154465,1282342
1154465,149592
189490,1347465
189490,1425538
189490,1117853
189490,1263045
189490,154591
189490,1405704
189490,1066802
189490,1282342
189490,149592
1347465,1425538
1347465,1468371
1347465,1263045
1347465,154591
1347465,1405704
1347465,1066802
1347465,1282342
1347465,149592
1425538,1468371
1425538,191680
1425538,1263045
1425538,154591
1425538,1405704
1425538,1066802
1468371,191680
1468371,154591
1040738,1436948
1040738,1210907
1436948,1478944
1436948,1210907
1450587,230983
1450587,1246047
1450587,1145868
1450587,503358
1450587,1424448
1450587,1119659
1450587,1191103
1450587,1569111
1450587,1237993
1450587,1115993
1450587,141653
1450587,1207225
1348908,143055
1348908,191752
282382,1245760
282382,191752
282382,153431
282382,1565254
1245760,191752
1329850,1057614
1329850,1058834
1329850,1210855
1329850,1024704
1329850,1449260
1329850,198390
1329850,1455948
1329850,1027508
1329850,1156451
1329850,1324680
1329850,1049007
1329850,1083557
1329850,18950
1329850,1484265
1329850,1083225
1057614,1058834
1057614,1210855
1057614,1024704
1057614,1449260
1057614,198390
1057614,1455948
1057614,1027508
1057614,1156451
1057614,1324680
1057614,1049007
1057614,1083557
1057614,18950
1057614,1484265
1057614,1083225
1058834,1210855
1058834,1024704
1058834,1449260
1058834,198390
1058834,1455948
1058834,1027508
1058834,1156451
1058834,1324680
1058834,1049007
1058834,1083557
1058834,18950
1058834,1484265
1058834,1083225
270181,1315948
270181,197773
270181,1546098
270181,227628
270181,126271
270181,1401335
270181,294275
270181,1076130
270181,206928
270181,1297202
270181,335424
270181,1310214
270181,1010589
270181,1322750
270181,305348
270181,1345215
270181,1165163
270181,1536382
270181,253376
270181,273879
270181,1236074
270181,1520874
270181,140719
270181,1114981
270181,121331
270181,152768
270181,1432286
270181,343300
270181,1146341
270181,1450990
270181,1573747
270181,1519936
270181,120521
270181,1405180
270181,1574680
270181,1060285
270181,1264580
270181,231108
270181,159049
270181,1392321
270181,1063374
270181,1121004
270181,1517527
270181,1144572
1315948,197773
1315948,1546098
1315948,227628
1315948,1310214
1315948,1010589
1315948,382452
1315948,1470462
1315948,1494922
1315948,1322750
1315948,305348
1315948,1345215
1315948,1165163
1315948,1536382
1315948,253376
1315948,273879
1315948,1236074
1315948,1520874
1315948,140719
1315948,1347274
1315948,1114981
1315948,121331
1315948,152768
1315948,1432286
1315948,343300
1315948,1146341
1315948,1450990
1315948,1573747
1315948,1519936
1315948,120521
1315948,1405180
1315948,231108
1315948,159049
1315948,1392321
1315948,1063374
1315948,1121004
1315948,1517527
1315948,1144572
1315948,1014803
1315948,1047910
1315948,1313235
1315948,1340580
1315948,1246382
1315948,1108093
197773,1546098
197773,227628
197773,335424
197773,1310214
197773,1010589
197773,382452
197773,1470462
197773,1494922
197773,1322750
197773,305348
197773,1345215
197773,1165163
197773,1536382
197773,253376
197773,273879
197773,1236074
197773,1520874
197773,140719
197773,1114981
197773,121331
197773,152768
197773,1432286
197773,343300
197773,1146341
197773,1450990
197773,1573747
197773,1519936
197773,120521
197773,1405180
197773,1264580
197773,231108
197773,159049
197773,1392321
197773,1063374
197773,1121004
197773,1517527
197773,1144572
197773,1014803
197773,1047910
197773,1313235
197773,1340580
197773,1246382
197773,1108093
1546098,227628
1546098,206928
1546098,1297202
1546098,335424
1546098,1310214
1546098,1010589
1546098,1470462
1546098,1494922
1546098,1322750
1546098,305348
1546098,1345215
1546098,1165163
1546098,1536382
1546098,253376
1546098,273879
1546098,1236074
1546098,1520874
1546098,140719
1546098,1114981
1546098,121331
1546098,152768
1546098,1432286
1546098,343300
1546098,1146341
1546098,1450990
1546098,1573747
1546098,1519936
1546098,120521
1546098,1405180
1546098,1060285
1546098,1264580
1546098,231108
1546098,159049
1546098,1392321
1546098,1063374
1546098,1121004
1546098,1517527
1546098,1144572
1546098,1014803
1546098,1047910
1546098,1313235
1546098,1246382
1546098,1108093
227628,126271
227628,1076130
227628,206928
227628,1297202
227628,335424
227628,1310214
227628,1010589
227628,1494922
227628,1322750
227628,305348
227628,1345215
227628,1165163
227628,1536382
227628,253376
227628,273879
227628,1236074
227628,1520874
227628,140719
227628,1114981
227628,121331
227628,152768
227628,1432286
227628,343300
227628,1146341
227628,1450990
227628,1573747
227628,1519936
227628,120521
227628,1405180
227628,1060285
227628,1264580
227628,231108
227628,159049
227628,1392321
227628,1063374
227628,1121004
227628,1517527
227628,1144572
227628,1014803
227628,1047910
227628,1108093
144404,1381199
144404,155649
112053,1228582
112053,1495313
1228582,1495313
1538781,1403152
1538781,1230469
1538781,1505255
1538781,1058179
1538781,1178864
1157180,1147652
1157180,1327278
1157180,13677
1157180,1066760
1157180,298924
1157180,1406957
1157180,1206902
1157180,335242
1157180,1078931
1157180,140919
1157180,1032955
1157180,1165878
1157180,1031431
1157180,1338316
1157180,105016
1157180,274408
1157180,101501
1157180,1261652
1157180,1085087
1157180,127068
1471294,1013534
1471294,146274
1471294,1045781
1471294,193753
1471294,1182865
1471294,186173
1471294,1332383
1471294,1440227
1471294,1077538
1471294,250758
1471294,1076376
1471294,1335288
1471294,1114667
1471294,1489335
1471294,288490
1471294,1589997
1471294,1543236
1471294,1024572
1471294,26149
1471294,1570409
1471294,1590519
1471294,132978
1471294,130754
1471294,1172706
1471294,1515136
1471294,1180263
1471294,239348
1471294,130852
1471294,15700
1476556,1119563
1476556,1317374
1476556,1399839
1476556,1162056
1476556,1031624
1476556,1451027
1476556,479570
1476556,1338139
1476556,1244885
1476556,1112705
1476556,1588029
1119563,1317374
1119563,1399839
1119563,1162056
1119563,1031624
1119563,1451027
1119563,479570
1119563,1338139
1119563,1244885
1119563,1112705
1119563,1588029
1317374,1399839
1317374,1162056
1317374,1031624
1317374,1111696
1317374,479570
1317374,1338139
1317374,1244885
1317374,1112705
1317374,1588029
1399839,1162056
1399839,1031624
1399839,1111696
1399839,479570
1399839,1338139
1399839,1244885
1399839,1112705
1399839,1588029
1004518,1068400
1180080,1479913
1180080,135546
